deathrate,D_lower,D_central,D_upper
0.05,0.07052231238702317,0.08474210674666904,0.0755738181135506
0.025,0.04408751712929781,0.04756752704658435,0.04442022413638672
0.016666666666666666,0.03783218992101772,0.03720239365328771,0.033292976746326884
0.0125,0.026815815451737095,0.024543721098208432,0.02149439433371024
0.01,0.024968076188528227,0.022871126113276782,0.020315815572186518
0.008333333333333333,0.021384499237653547,0.018876930330343104,0.016184411014106788
0.007142857142857143,0.01645740595516197,0.014434306459449781,0.012550182026604946
0.00625,0.015624110036840212,0.013607313482151445,0.011742423018800451
0.005555555555555556,0.015882427064415408,0.01356961614714626,0.011554503198384145
0.005,0.013609076561497728,0.011311630296207855,0.008838212536077849
