deathrate,D_lower,D_central,D_upper
0.05,50.174838321639186,10.157317731302056,0.7139870505949543
0.05,5.967571657937917,8.221807250595894,1.090097415659219
0.05,4.883831665085162,7.076258774116531,1.4472688098525033
0.05,4.3716020777174736,6.217144357655678,1.5474962575610685
0.05,4.080655390862279,5.591119182461395,1.8565646602018018
0.05,4.144331249321925,5.316616896624408,1.9907246251218418
0.05,3.927512336541996,5.008239442826903,2.369067316792296
0.05,3.695212543845135,4.507153464382816,2.1602813316236382
0.05,3.780640001765612,4.7647399118906195,2.1879777539805563
0.05,3.626819714011891,4.503875137643523,2.5522805276718086
0.05,3.4972808136848195,4.235406074894819,2.360988521719126
0.05,3.4063575697688044,4.094553606648204,2.509321931109706
0.05,3.674864219763145,4.274689645468655,2.533120438311349
0.05,3.4365650592353654,4.116142238908005,2.706234606473006
0.05,3.577175765781791,4.187107383057802,2.637737003265525
0.05,3.2963329539411044,3.9162286426300392,2.7273173039571743
0.05,3.2067768388128597,3.8535136342805867,2.525021811724255
0.05,3.3151864717331483,3.844662178337252,2.7724061688196917
0.05,3.56603104278315,4.0262148874733885,2.985425038982535
0.05,3.1832732067329,3.6578093724073497,2.7474872708114764
