deathrate,D_lower,D_central,D_upper
0.05,0.0968079714073014,0.11813859878741431,0.05975612434719568
0.025,0.05119527912493058,0.06022859237542191,0.030647671715310652
0.016666666666666666,0.03866186024245754,0.03972374850877409,0.023535317331786855
0.0125,0.033669564188335804,0.03407805355227316,0.021328335268581636
0.01,0.030355358595892657,0.02798944902980975,0.017030578500781903
0.008333333333333333,0.023586299936507623,0.020835345217316184,0.01328333629293742
0.007142857142857143,0.020633039751038324,0.018250052192398752,0.012732203763384858
0.00625,0.022243059790082644,0.0189185034928686,0.01315067488078111
0.005555555555555556,0.023086365502863505,0.01931539568378902,0.012644823948228816
0.005,0.0165541674724835,0.01363248698355681,0.00993525375833642
