noise_amp,C_lower,C_central,C_upper
20,-0.32724734583993664,-0.00449346471613472,0.38458279295167686
50,-0.20076260704403204,0.0062369931167824515,0.2616142846409398
100,-0.12536609508516797,0.004994501072890683,0.16552221579130647
150,-0.09701447948540683,-0.002831574149649227,0.10389371722004269
200,-0.070876505431741,0.004814621740851646,0.09348850778112534
250,-0.0613489335801663,-0.0026691520433917886,0.06890338327196759
300,-0.060883887752280645,-0.006173145255323381,0.0541923830416966
350,-0.053116539962232374,-0.0023321134082925116,0.053591260118394934
400,-0.04219376921329286,0.004265636468491759,0.05426710945255572
450,-0.03698260581068943,0.001739767861466872,0.04078280201573153
500,-0.037437719598940954,0.0011014620574036481,0.034973496823422226
