deathrate,D_lower,D_central,D_upper
0.05,51.466181972853676,10.192811547764896,0.6497050770264
0.05,6.62011099923643,8.265490816757692,1.0410516050513134
0.05,4.751835395913697,7.104546984588835,1.4744331175872494
0.05,4.475367169347402,6.2130768809975025,1.558968916077766
0.05,4.192362962976453,5.655821954960135,1.6707454836747306
0.05,3.9682226534323335,5.295572120797368,2.075183843812684
0.05,3.9671775993346157,4.98581968854239,2.303321218571401
0.05,3.54138257928403,4.5341280595666795,2.109822813347299
0.05,3.822698982990937,4.666784768605014,2.296018693980129
0.05,3.636309858425243,4.531494971734646,2.6712004372834066
0.05,3.414647534740539,4.290056581224797,2.34880458975631
0.05,3.3243459341794597,4.100748074967327,2.567234445028606
0.05,3.606298094110584,4.145588452411436,2.6168945056932795
0.05,3.4323801363749777,4.072523696205964,2.637449185953986
0.05,3.588285761051865,4.164308522220947,2.629943008932837
0.05,3.407800500762821,3.9438451305800104,2.6695938477082315
0.05,3.349513342685968,3.8704230608481476,2.4320685212986293
0.05,3.422697385506162,3.8572398120419735,2.6792165862224913
0.05,3.5857524898296216,4.022600478460457,3.087431337727898
0.05,3.111762576586929,3.6365887063074926,2.7049471028065484
