noise_amp,C_lower,C_central,C_upper
20,-0.3269456828380703,0.0031848836766179447,0.3309796740205566
50,-0.16869322372711054,-0.0010386303763677762,0.15858512653798218
100,-0.09410206289959201,0.0019441531769108066,0.09733306091700894
150,-0.05971625139629378,0.0036641230686583737,0.06641217526732986
200,-0.07328707289916771,-0.016705837927323195,0.04169953504602975
250,-0.044567288866312456,-0.004411765107793244,0.03947412777611051
300,-0.03392362837797842,6.403262347315212e-05,0.0320354426505732
350,-0.043334449352752526,-0.00792065351857149,0.025938896176739713
400,-0.03296820296175831,-0.0009417305248744817,0.03408864677034472
450,-0.03205518726536759,-0.0009159881882975707,0.021992472081008692
500,-0.033452752457782196,-0.0002734421283482396,0.03238554078279708
